# omega normalized_positive_A_imp_smooth
-2.962406015037593932e+00 1.216309265692813290e-03
-2.948621553884711588e+00 1.228796810578216409e-03
-2.934837092731829689e+00 1.241482734350310944e-03
-2.921052631578947345e+00 1.254371356451348040e-03
-2.907268170426065446e+00 1.267467116732424060e-03
-2.893483709273183102e+00 1.280774579564689141e-03
-2.879699248120300759e+00 1.294298438117211496e-03
-2.865914786967418415e+00 1.308043518809343629e-03
-2.852130325814536516e+00 1.322014785945837970e-03
-2.838345864661654172e+00 1.336217346543425036e-03
-2.824561403508771829e+00 1.350656455358023632e-03
-2.810776942355889929e+00 1.365337520122267192e-03
-2.796992481203007586e+00 1.380266107003546867e-03
-2.783208020050125242e+00 1.395447946293353753e-03
-2.769423558897242899e+00 1.410888938339293318e-03
-2.755639097744360999e+00 1.426595159731778705e-03
-2.741854636591478656e+00 1.442572869758103034e-03
-2.728070175438596756e+00 1.458828517137294046e-03
-2.714285714285714413e+00 1.475368747049929851e-03
-2.700501253132832069e+00 1.492200408477916589e-03
-2.686716791979949726e+00 1.509330561870082929e-03
-2.672932330827067826e+00 1.526766487150386584e-03
-2.659147869674185483e+00 1.544515692086508756e-03
-2.645363408521303583e+00 1.562585921037660001e-03
-2.631578947368421240e+00 1.580985164101548135e-03
-2.617794486215538896e+00 1.599721666681659226e-03
-2.604010025062656553e+00 1.618803939497266697e-03
-2.590225563909774209e+00 1.638240769059959171e-03
-2.576441102756892310e+00 1.658041228641939872e-03
-2.562656641604009966e+00 1.678214689762889738e-03
-2.548872180451128067e+00 1.698770834223869508e-03
-2.535087719298245723e+00 1.719719666718515227e-03
-2.521303258145363380e+00 1.741071528053684181e-03
-2.507518796992481036e+00 1.762837109013758261e-03
-2.493734335839599137e+00 1.785027464904998190e-03
-2.479949874686716793e+00 1.807654030818692551e-03
-2.466165413533834894e+00 1.830728637654355532e-03
-2.452380952380952550e+00 1.854263528946946231e-03
-2.438596491228070207e+00 1.878271378544957683e-03
-2.424812030075187863e+00 1.902765309189367740e-03
-2.411027568922305520e+00 1.927758912046770474e-03
-2.397243107769423620e+00 1.953266267253627592e-03
-2.383458646616541721e+00 1.979301965532437139e-03
-2.369674185463659377e+00 2.005881130944802467e-03
