beta0,control_gamma_pt_zero,omega,rho_min_eigenvalue,rho_max_eigenvalue,rho_trace,resolvent_sandwich_identity_error
0.5,0,-0.334,0.05054302870586403,0.5559733157645047,0.6065163444703687,3.17223782452339e-17
0.5,0,-0.333,0.05081210420448572,0.558933146249343,0.6097452504538288,2.849279410607162e-17
0.5,0,-0.332,0.05108324017585545,0.5619156419344102,0.6129988821102657,1.1242983533065052e-16
0.5,0,-0.331,0.05135645665714065,0.5649210232285474,0.616277479885688,1.121001375357576e-16
0.5,0,-0.33,0.05163177391464567,0.5679495130611025,0.6195812869757482,1.155643570981756e-16
0.5,0,-0.329,0.0519092124467006,0.5710013369137072,0.6229105493604078,2.908187405019481e-17
0.5,0,-0.328,0.052188792986586824,0.5740767228524557,0.6262655158390426,1.5148548925276144e-17
0.5,0,-0.327,0.052470536505499994,0.5771759015605005,0.6296464380660004,1.1371584853745413e-16
0.5,0,-0.326,0.052754464215550835,0.5802991063710593,0.6330535705866102,1.1295050553428134e-16
0.5,0,-0.325,0.053040597572804084,0.5834465733008453,0.6364871708736494,2.7229332042257895e-17
0.5,0,-0.324,0.053328958280356296,0.5866185410839192,0.6399474993642755,1.1102349344992277e-16
0.5,0,-0.323,0.05361956829145206,0.5898152512059729,0.643434819497425,2.7978378723543186e-17
0.5,0,-0.322,0.05391244981264024,0.5930369479390429,0.6469493977516833,1.164295912381444e-16
0.5,0,-0.321,0.05420762530696956,0.5962838783766652,0.6504915036836347,1.387851579589094e-17
0.5,0,-0.32,0.054505117497224406,0.5995562924694686,0.654061409966693,2.9073085865588854e-17
0.5,0,-0.319,0.05480494936920148,0.6028544430612163,0.6576593924304177,2.987946664627574e-17
0.5,0,-0.318,0.05510714417502693,0.6061785859252964,0.6612857301003233,2.787024886376359e-17
0.5,0,-0.317,0.05541172543651535,0.609528979801669,0.6649407052381843,1.1166022237551608e-16
0.5,0,-0.316,0.05571871694856995,0.61290588643427,0.66862460338284,2.222350340753435e-16
0.5,0,-0.315,0.05602814278262536,0.6163095706088798,0.6723377133915052,1.143871803180156e-16
0.5,0,-0.314,0.056340027290132516,0.6197403001914578,0.6760803274815903,2.77609200126412e-17
0.5,0,-0.313,0.05665439510608627,0.6231983461669495,0.6798527412730357,1.155169462894263e-16
0.5,0,-0.31200000000000006,0.05697127115259706,0.6266839826785682,0.6836552538311653,5.832033501840222e-17
0.5,0,-0.31100000000000005,0.05729068064250508,0.6301974870675564,0.6874881677100615,2.800332456437379e-17
0.5,0,-0.31000000000000005,0.05761264908303899,0.6337391399134293,0.6913517889964683,8.082502342161758e-18
0.5,0,-0.30900000000000005,0.05793720227951882,0.6373092250747074,0.6952464273542264,2.777123596533839e-17
0.5,0,-0.30800000000000005,0.0582643663391035,0.6409080297301389,0.6991723960692424,1.3161468595146347e-17
0.5,0,-0.30700000000000005,0.05859416767458338,0.6445358444204174,0.7031300120950009,5.661410516029272e-17
0.5,0,-0.30600000000000005,0.05892663300821771,0.6481929630903953,0.707119596098613,1.1104217145516002e-16
0.5,0,-0.30500000000000005,0.059261789375618434,0.651879683131803,0.7111414725074214,3.0732773840218375e-17
0.5,0,-0.30400000000000005,0.05959966412967917,0.6555963054264711,0.7151959695561503,1.110387598415046e-16
0.5,0,-0.30300000000000005,0.05994028494455092,0.6593431343900604,0.7192834193346114,6.153907777334892e-17
0.5,0,-0.30200000000000005,0.060283679819664135,0.6631204780163056,0.7234041578359698,4.148198282775699e-17
0.5,0,-0.30100000000000005,0.060629877083797384,0.6669286479217718,0.7275585250055691,1.1103148013452004e-16
0.5,0,-0.30000000000000004,0.06097890539919361,0.6707679593911297,0.7317468647903232,5.944974654267655e-17
0.5,0,-0.29900000000000004,0.061330793765722924,0.6746387314229528,0.7359695251886758,5.826493829103453e-17
0.5,0,-0.29800000000000004,0.061685571525094046,0.6785412867760352,0.7402268583011292,1.1110881206891331e-16
0.5,0,-0.29700000000000004,0.062043268365112286,0.6824759520162357,0.744519220381348,2.927962417511372e-17
0.5,0,-0.29600000000000004,0.06240391432398651,0.6864430575638523,0.7488469718878387,3.220520266260696e-17
0.5,0,-0.29500000000000004,0.06276753979468384,0.6904429377415227,0.7532104775362064,1.1312345313907936e-16
0.5,0,-0.29400000000000004,0.06313417552933284,0.6944759308226618,0.7576101063519947,2.86928590692671e-17
0.5,0,-0.29300000000000004,0.06350385264367532,0.698542379080429,0.7620462317241044,1.1129224857634753e-16
0.5,0,-0.29200000000000004,0.06387660262156653,0.7026426288372325,0.766519231458799,1.114039687177463e-16
0.5,0,-0.29100000000000004,0.06425245731952449,0.7067770305147703,0.7710294878342947,1.1166475098259243e-16
0.5,0,-0.29000000000000004,0.06463144897132803,0.7109459386846086,0.7755773876559366,2.681645898896364e-17
0.5,0,-0.28900000000000003,0.06501361019266358,0.7151497121192996,0.7801633223119632,1.118330747108336e-16
