beta0,control_gamma_pt_zero,pole_index,pole_real,pole_halfwidth,coherent_channel,relative_rate_channel
0.54,1,1,0.10200000000000001,0.12,0.10200000000000001,0.0
0.5425,0,0,0.0,0.15664334011795322,0.102125,0.1085
0.5425,0,1,0.0,0.08335665988204675,0.102125,0.1085
0.5425,1,0,-0.102125,0.12,0.102125,0.0
0.5425,1,1,0.102125,0.12,0.102125,0.0
0.545,0,0,0.0,0.15776158762552234,0.10225000000000001,0.10900000000000001
0.545,0,1,0.0,0.08223841237447765,0.10225000000000001,0.10900000000000001
0.545,1,0,-0.10225000000000001,0.12,0.10225000000000001,0.0
0.545,1,1,0.10225000000000001,0.12,0.10225000000000001,0.0
0.5475000000000001,0,0,0.0,0.15885369190952137,0.10237500000000001,0.10950000000000003
0.5475000000000001,0,1,0.0,0.08114630809047864,0.10237500000000001,0.10950000000000003
0.5475000000000001,1,0,-0.10237500000000001,0.12,0.10237500000000001,0.0
0.5475000000000001,1,1,0.10237500000000001,0.12,0.10237500000000001,0.0
0.55,0,0,0.0,0.1599217985566783,0.10250000000000001,0.11000000000000001
0.55,0,1,0.0,0.0800782014433217,0.10250000000000001,0.11000000000000001
0.55,1,0,-0.10250000000000001,0.12,0.10250000000000001,0.0
0.55,1,1,0.10250000000000001,0.12,0.10250000000000001,0.0
